index,SMILES,Reorg_g,Reorg_ex
train_0,CC[C@H]1CCCCN1C(=O)[C@@H](C)OC(=O)c1c(C)oc(-n2cccc2)c1C#N,0.631486,0.53506
train_1,O[C@@H](CNC1CC1)CN1CCc2sccc2C1,0.825901,1.116781
train_2,N#CCCNC(=O)[C@@]1(O)CCSC1,1.463943,0.964848
train_3,COC[C@H]1CN(c2ccc(OCC[C@@H](C)O)cc2)C(=O)O1,0.166669,0.161458
train_4,N#Cc1c(-c2ccccc2OCC(N)=O)[nH]c(C(N)=O)c1N,0.31382,0.338862
train_5,C=CCC(=O)Cc1cncc(Br)c1,0.697658,0.296321
train_6,COc1ccc(Br)cc1C(=O)NC(=S)Nc1ccc(C)cc1,0.955649,0.77315
train_7,Cc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cc(Cl)ccc3Cl)CC2)c1C,1.057643,0.972375
train_8,C[C@H]1CN(C(=O)N2CCO[C@H](CC(=O)O)C2)C[C@@H](C)O1,1.434185,1.050282
train_9,CCN(CC)C(=O)c1ccccc1NC(=O)CCc1nc(-c2cccnc2)no1,0.627571,0.774036
train_10,CC(C)n1cc(NCc2cc(Br)c(Cl)s2)cn1,1.376982,1.177825
train_11,CC[C@@]1(C)[C@@H](Br)C[C@@H]1Oc1ccc(Cl)c2ccccc12,0.279264,0.279003
train_12,COc1ccc(C[C@@H](Oc2cc(C)cc(C)c2)C(=O)O)c(OC)c1,0.711692,0.680995
train_13,Cc1cc(C)c(C2=C(O)[C@@H]3[C@H]4O[C@H](C[C@H]4c4cccc(C#N)c4)[C@@H]3C2=O)c(C)c1,0.455866,0.330133
train_14,CC[C@@H](C(=O)O)N1CCc2cc(OC)ccc2C1,0.16913,0.157955
train_15,O=C(COC(=O)C1CCC1)NC(=O)c1ccccc1,0.992393,0.627812
train_16,COC(=O)CCCNC(=O)[C@H](N)C(C)C,1.301915,0.856191
train_17,C[C@H]1CCN(C(=O)CCc2nc(-c3ncccn3)no2)CC1(C)C,0.738219,0.671294
train_18,N#C[C@@H](NC(=O)Cn1cc2ccccc2n1)C1CCCCC1,0.257342,0.253487
train_19,C[C@@](N)(CNC1CCC1)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,0.555991,0.71143
train_20,COCCCNC(=O)C(=O)NC[C@@H]1COc2ccccc2O1,0.318988,0.25145
train_21,C[C@H]1CCC[C@](CBr)(NC(=O)[C@@]2(C)CCCO2)C1,1.290137,0.801881
train_22,CC(C)(C)OC(=O)N[C@H]1CC[C@H](c2cc(N(COCC[Si](C)(C)C)COCC[Si](C)(C)C)n3ncc(I)c3n2)CC1,0.678198,0.678135
train_23,CC[C@@](C)(OC)c1nc(O)c(-c2cccc(Br)c2)c(=O)[nH]1,0.615925,0.461614
train_24,C[C@H]1CN(C(=O)N[C@@H](CCC(=O)O)Cc2ccccc2)C[C@H](C)S1(=O)=O,0.461894,0.50837
train_25,CC(C)Cc1ccc(S(=O)(=O)N[C@H]2CCNC[C@@H]2C)cc1,1.223427,1.244027
train_26,CC(C)=Cc1ncnc(C(C)C)c1N(C)N,1.401476,1.182841
train_27,COc1cc(Br)cc(C)c1NC(=O)c1ccc(Br)c(N)c1,0.30259,0.22681
train_28,C(=N\Nc1nc2c(s1)CCCC2)\c1ccncc1,1.214458,1.161366
train_29,CC(=O)Nc1ccc(F)c(NC(=O)N2CCCCCCC2)c1,0.148741,0.135658
train_30,CCc1ccc(NC(=O)N2CCCN(c3nc(Cc4ccccc4)nc4c3c(C)nn4-c3ccccc3)CC2)cc1,0.772328,0.525635
train_31,COc1ccccc1CNC1CN(C(c2ccccc2)c2ccccc2)C1,0.623094,0.695003
train_32,O=C(NCc1ccccc1-n1cccn1)N1CCCN(C2CCCC2)CC1,0.782785,0.826777
